0 x, -nan
0 y, -nan
0 z, -nan
1 x, -nan
1 y, -nan
1 z, -nan
2 x, -nan
2 y, -nan
2 z, -nan
3 x, -nan
3 y, -nan
3 z, -nan
4 x, -nan
4 y, -nan
4 z, -nan
5 x, -nan
5 y, -nan
5 z, -nan
184 z, 0.000000
185 x, -1.000000
185 y, 0.000000
185 z, -0.000000
186 x, -1.000000
186 y, 0.000000
186 z, -0.000000
187 x, -1.000000
187 y, 0.000000
187 z, -0.000000
188 x, -1.000000
188 y, -0.000000
188 z, 0.000000
189 x, -1.000000
189 y, 0.000000
189 z, 0.000000
190 x, -1.000000
190 y, 0.000000
190 z, 0.000000
191 x, -1.000000
191 y, 0.000000
191 z, 0.000000
192 x, -1.000000
192 y, -0.000000
192 z, 0.000000
193 x, -1.000000
193 y, -0.000000
193 z, 0.000000
194 x, -1.000000
194 y, -0.000000
194 z, -0.000000
195 x, -1.000000
195 y, 0.000000
195 z, -0.000000
196 x, -1.000000
196 y, -0.000000
196 z, -0.000000
197 x, -1.000000
197 y, -0.000000
197 z, -0.000000
198 x, -1.000000
198 y, 0.000000
198 z, 0.000000
199 x, -1.000000
199 y, 0.000000
199 z, 0.000000
200 x, -1.000000
200 y, 0.000000
200 z, 0.000000
201 x, -1.000000
201 y, 0.000000
201 z, 0.000000
202 x, -1.000000
202 y, 0.000000
202 z, 0.000000
203 x, -1.000000
203 y, 0.000000
203 z, 0.000000
204 x, -1.000000
204 y, 0.000000
204 z, -0.000000
205 x, -1.000000
205 y, -0.000000
205 z, -0.000000
206 x, -1.000000
206 y, 0.000000
206 z, 0.000000
207 x, -0.896396
207 y, -0.421461
207 z, -0.137279
208 x, 0.895116
208 y, 0.400480
208 z, 0.195915
209 x, 1.000000
209 y, 0.000000
209 z, 0.000000
210 x, 1.000000
210 y, 0.000000
210 z, 0.000000
211 x, 1.000000
211 y, 0.000000
211 z, 0.000000
212 x, 1.000000
212 y, 0.000000
212 z, 0.000000
213 x, 1.000000
213 y, -0.000000
213 z, -0.000000
214 x, 1.000000
214 y, -0.000000
214 z, -0.000000
215 x, 1.000000
215 y, -0.000000
215 z, -0.000000
216 x, 1.000000
216 y, -0.000000
216 z, -0.000000
217 x, 1.000000
217 y, -0.000000
217 z, -0.000000
218 x, 1.000000
218 y, -0.000000
218 z, -0.000000
219 x, 1.000000
219 y, 0.000000
219 z, -0.000000
220 x, 1.000000
220 y, 0.000000
220 z, -0.000000
221 x, 1.000000
221 y, 0.000000
